Name,Review Count,Price,Phone Number,Address
Riad Noir d'Ivoire,"1,541 reviews",1000,00 44 7778 888883,"31-33 Derb Jdid Bab Doukkala, Marrakech 40000 Morocco"
Riad Houdou,"1,510 reviews",600,00 212 608-864072,"54 Derb el Hammam, el Moukef Essebtyine, Moukef, Marrakech 40000 Morocco"
La Maison Arabe,"3,253 reviews",1500,00 212 5243-87010,"1 Derb Assehbe Bab Doukkala, Marrakech 40000 Morocco"
Sol Oasis Marrakech,"1,061 reviews",3000,00 1 888-575-2385,"Douar Ben Rahmoun Prefecture Sidi Youssef Ben Ali, Marrakech 40000 Morocco"
Movenpick Hotel Mansour Eddahbi Marrakech,"3,337 reviews",1472,00 212 678-987896,"Avenue Mohammed VI Hivernage, Marrakech 40020 Morocco"
Riad Dar Anika,"2,018 reviews",1532,00 212 5243-91751,"112 Rue Riad Zitoun el Kdim, Marrakech Morocco"
Riad Les Trois Mages,860 reviews,1780,00 212 5243-89297,"11 Riad Larousse, Derb Jamaâ, Marrakech Morocco"
Andalla Riad & Spa,869 reviews,2000,00 212 5243-89162,"2 Derb El Boumba rue Arset Laghzail, Marrakech 40000 Morocco"
Be Live Collection Marrakech Adults Only,"3,204 reviews",3123,00 212 654-487932,"Lot B6, Zone de Zahrat Annakhil, Marrakech Morocco"
Riad Melhoun & Spa,809 reviews,1478,00 212 678-734373,"99 Derb Sidi moussa Quartier La Bahia, Marrakech 40070 Morocco"
La Mamounia Marrakech,"3,346 reviews",1239,00 212 678-734125,"Avenue Bab Jdid, Marrakech 40040 Morocco"
Sofitel Marrakech Lounge & Spa Hotel,"4,921 reviews",1247,00 212 678-748793,"Rue Harroun Errachid Quartier de l'Hivernage, Marrakech 40000 Morocco"
Fairmont Royal Palm Marrakech,"1,260 reviews",1900,00 212 5244-87878,"Km 12 Route d'Amizmiz, Marrakech 2470 Morocco"
"The Oberoi, Marrakech",393 reviews,1770,00 212 525-081515,"Boite Postale 22788 Route De Ouarzazate, Marrakech 40000 Morocco"
"Riad Camilia, the Riad and More",601 reviews,4789,00 212 678-778415,"Derb El Ouali 9, Kaat Benahid Medina, Marrakech 40000 Morocco"
TUI BLUE Medina Gardens,985 reviews,2365,00 212 698-123654,"Arset Djnan La Khdar, Marrakech 40000 Morocco"
