Name,Rating,Price,Website,Address
Terrasses Des Arts,5,250,http://www.lesterrassesdesarts.ma,"5 Derb L'Hotel Bab Doukala, Marrakech 40000 Morocco"
Lao Marrakech,5,300,http://www.lao-marrakech.com,"14 et, Benhafssa, 16 Rue Oued El Makhazine Au dessus du KFC de Guéliz, Marrakech 40000 Morocco"
Poka,5,200,http://pokamarrakech.com/,"N 149 Residence Soluna, Rue Khalid Ben El Oualid, Marrakech 40000 Morocco"
LA BOUCHE - Marrakech,5,400,http://loalabouche.ma,"4 rue Badr Guéliz Marrakech, Marrakech 40000 Morocco"
Pointbar,5,100,http://www.pointbar-restaurant.com,"3 bis rue Abou Hayane Taouhidi, Gueliz, Marrakech 40000 Morocco"
Café Restaurant Dar L'hssir,5,150,https://www.facebook.com/CafeResTaurantDarLhssira/,"15-12, Rue Tachenbacht, Marrakech 40030 Morocco"
Amazigh Rooftop,4.5,133,http://www.facebook.com/restaurantlamazigh,"38 Moulay Tayeb, Marrakech 40030 Morocco"
L'Auberge Espagnole,4.5,180,http://www.lauberge-espagnole-marrakech.com/,"Street Corner Tarik Ibn Ziad and Moulay Ali Gueliz, Marrakech 40000 Morocco"
Bazaar Café,4.5,170,http://www.bazaarcafe.ma/,"Derb Sidi El Yamani, 24B, Marrakech 40000 Morocco"
Baroma Marrakech,5,350,http://www.lebarometre.net/,"Rue Moulay Ali Guéliz Résidence Al houda, Marrakech 40000 Morocco"
Dar Chef,4.5,600,http://www.darchef.ma/,"Rue Kennaria N 123 Bis, Marrakech 40000 Morocco"
Casa Lalla Restaurant,5,550,http://www.casalalla-restaurant.com,"Riad Zitoun Lakdime 16 Derb Jamaa, Marrakech 40000 Morocco"
Gusto,4.5,222,http://www.facebook.com/gustomarrakech/,"Bd Mohamed VI Zone De L'Agdal, Marrakech 40020 Morocco"
Gm Cafe Gourmet,5,450,http://gmcafe.ma,"Croisement Av. Moulay Hassan Et Rue Imam Malik, Marrakech 40000 Morocco"
Mazel Cafe,5,120,http://www.mazelcoffee.com,"8 Place des Ferblontiers, Médina, Marrakech 40000 Morocco"
Dameh,5,140,http://www.facebook.com/dameh.restaurant/,"15 Gueliz rue Qadi Ayad, El Harti RDC Résidence Mirador, Marrakech 40000 Morocco"
Manzil la Tortue,5,160,/UpdateListing-d4084692,"Km12, Route de Ouarzazate Douar Gzoula, Marrakech 40000 Morocco"
La Palette Restaurant Marrakech,5,333,http://www.lapalette-restaurant.com,"24 Rue Moulay Ali, Marrakech 40000 Morocco"
Cafe Babouche,4.5,144,http://www.facebook.com/pages/category/Cafe/Cafe-babouche-1332778330081420,"37 Rue Des Banque Medina, Marrakech 40400 Morocco"
L'mdina Marrakech,5,186,http://instagram.com/restaurantlmdina?utm_medium=copy_link,"42 Rue Des Banque, Marrakech 40090 Morocco"
ViaVia Morocco Marrakech,5,199,https://viavia.world/en/africa/marrakech,"3 Rue Fandak Next to Mellah Market, nearby Bahia and Badii Palaces., Marrakech 40000 Morocco"
Taj Moroccan Food,5,660,/UpdateListing-d23483887,"1 Rue Moulay Ismail Place Jamaa El-fna, Marrakech 40000 Morocco"
Votre Table,5,320,http://votretablemarrakech.com/en/,"Kennaria Immeuble el Biaz Numéro 3, Marrakech 40000 Morocco"
Le Tire Bouchon Marrakech,5,147,http://le-tire-bouchon-marrakech.business.site,"Angle Rue Loubnane et Rue Souriya Gueliz En face de la Pharmacie Atlas, deriere le Care eden, Marrakech 40000 Morocco"
Cuisine De Terroir,4.5,123,http://www.facebook.com/Cuisine.de.terroir/,"St Kennaria 118 Immeuble biyaze, Marrakech 40000 Morocco"
Restaurant Angsana Si Said,5,159,http://www.angsanariadscollection.com,"24, Derb Si Said, Marrakech 40000 Morocco"
Dar Zellij,4.5,753,http://marrakech-riads.com/restaurant-dar-zellij/,"No1 Kaa Sour, Sidi Ben Slimane Medina, Marrakech 40000 Morocco"
My Taher,5,357,/UpdateListing-d23591994,"9 Rue des Banques, Marrakech 40000 Morocco"
La Cantine Des Gazelles,4.5,231,http://www.facebook.com/La-Cantine-Des-Gazelles-1752597298378867/,"6 Dabachi Kennaria Kennaria, Marrakech 40040 Morocco"
Zeitoun Guéliz,4.5,740,https://www.zeitouncafe.com/,"213 Avenue Moahmed V, Marrakech 40000 Morocco"
La Table Du Riad at 72 Riad Living,4.5,210,http://riadliving.com/la-table-du-riad/philosophy/,"72 Arset Awzel, Bab Doukkala Taxi stop: Dar el Bacha, Marrakech 40000 Morocco"
Le 6,4.5,412,http://www.facebook.com/Le-6-Dar-6-Marrakech-171118932932553/,"Avenue Mohammed VI Residence Hivernage, Marrakech 40020 Morocco"
Naranj,4.5,322,http://www.facebook.com/Naranj-Marrakech-267756820244722,"84 Rue Riad Zitoun Jdid Medina, Marrakech 40000 Morocco"
Lotus Privilége Moroccan Restaurant,4.5,563,http://www.restaurantlotusprivilege.com/,"Quartier Dar El Bacha 9, Derb Sidi Ali Ben Hamdouche, Marrakech 40000 Morocco"
A.Montana,5,147,http://www.arnica-montana.com/,"60 Derb Jdid Douar Graoua, Marrakech 40000 Morocco"
